x,y,name,production
-19.918075787166753,32.1249082203486,Dietfurt,5.0
-19.91807585215244,32.12490831335071,Soor,5.2
-19.91807604860612,32.12490876489246,Mühlau,5.6
-19.91807516875481,32.124909231578584,Niederglatt,0.65
-19.91807481377053,32.124909922478125,Bischofszell (Papierfabrik),4.2
-19.918072228974303,32.12490872060022,Wasserauen,7.7
-19.9180736537509,32.1249083376931,Rossfall,2.0
-19.91807367678668,32.124908754271274,Zürchersmühle,1.79
-19.918073614552416,32.12490943453424,Kubel,30.83
-19.918073645761336,32.12490950125377,Sittertal,2.5
-19.918073559878852,32.12490959858157,"Grafenau, St. Gallen",1.5
-19.91807350265234,32.124909631833404,Burentobel,1.3
-19.918073376866303,32.12491002963193,Erlenholz,3.0
-19.9180751726435,32.12491005877805,Thurfeld,7.1
-19.91807538802208,32.12491003658799,Au-Schönenberg,6.9
-19.91807580918598,32.12491012569999,Bürglen (Säge),2.9
-19.9180756922765,32.124910120570036,Bürglen (Kanalkraftwerk),6.8
-19.918075912586968,32.12491012215678,Thur,4.75
-19.918076347431075,32.12491008728521,"Model, Weinfelden",2.63
-19.918076379511643,32.12491007611034,"Mühle, Weinfelden",2.5
-19.918076604488768,32.12491004414751,"Widen, Weinfelden",4.8
-19.918078101598216,32.12490932412734,Murkart,1.6
-19.91807832062174,32.12490941096118,"Schlossmühle, Frauenfeld",1.4
-19.918079247512896,32.124908232161076,Kollbrunn,1.5
-19.91807939625764,32.124908251103676,"Sennhof, Illnau-Effretikon",1.2
-19.918080720497013,32.124908362788126,Pfungen,1.0
-19.918080386325855,32.124908432419495,Hard Wülflingen,2.55
-19.91808127342769,32.1249082595764,Freienstein,2.45
-19.91807912597546,32.12490719832791,Trümpler,1.1
-19.918082550556395,32.124908300133086,Eglisau,318.0
-19.918083859980843,32.12490785803418,Reckingen,263.0
-19.91808363312985,32.124909123722084,Wunderklingen,2.4
-19.91808558350713,32.12490757649901,Albbruck-Wehrkraftwerk,122.0
-19.918085919986403,32.12490736013366,Albbruck,574.0
-19.918086636351738,32.124906856275146,Laufenburg,630.0
-19.918087544129325,32.12490659396972,Säckingen,480.0
-19.918088852402143,32.1249064573683,Ryburg-Schwörstadt,700.0
-19.918088850954685,32.124906467974284,Ryburg-Schwörstadt Lockstromz.,2.0
-19.918088990455587,32.1249062499321,Rheinfelden,600.0
-19.918088990455587,32.1249062499321,Rheinfelden-Dotierzentrale,14.0
-19.918089886922026,32.1249056699338,Augst,200.0
-19.918089913374825,32.124905680445586,Wyhlen,200.5
-19.91809078444188,32.1249056099438,Birsfelden,569.0
-19.918092388839295,32.12490233425335,Moutier (Gorges de Court),5.3
-19.918092364931187,32.12490288087417,Choindez,3.8
-19.91809380511544,32.12490217641757,Blanches-Fontaines Undervelier,1.53
-19.91809382915354,32.12490251006596,Bassecourt,4.0
-19.918092768864607,32.124903326456774,Bellerive,2.3
-19.91809154162673,32.12490396758683,Juramill,1.6
-19.918091510630955,32.12490406364298,Laufen (Wasserfall),2.9
-19.91809134714037,32.124904272677036,"Zwingen, Obermatt",1.9
-19.918091139690727,32.1249044062257,Nenzlingen,1.1
-19.91809079615528,32.124904464718284,Moos,5.2
-19.918090689752532,32.12490453565845,Büttenen 2,2.15
-19.918090689752532,32.12490453565845,Büttenen 1,2.7
-19.91809071785251,32.124904962636876,Dornachbrugg,6.94
-19.91809070851769,32.12490531213749,Neuewelt,3.56
-19.918091545095123,32.12490593659184,Kembs-Centrale de dotation 1,20.0
-19.91809156396033,32.12490593246889,Kembs-Centrale de dotation 2,40.0
-19.918092169334283,32.124906077916165,Kembs,855.0
-19.918080474481272,32.124899449937125,Grimsel 2,0.0
-19.918080367306704,32.12489951757219,Grimsel Nollen,5.0
-19.91808036131722,32.124899553464694,Grimsel 1 (Oberaarsee),74.0
-19.91808036131722,32.124899553464694,Grimsel 1 (Grimselsee),32.8
-19.91808076286375,32.124899820398525,Handeck 1,167.5
-19.91808079394556,32.124899790706706,Handeck 2 / 2a ,261.8
-19.918080802435075,32.12489979744543,Handeck 3 (Isogyre),39.3
-19.918081090884023,32.124900178017896,"Lochmedli, Guttannen",3.7
-19.918081794568153,32.12490025443003,Innertkirchen 3,12.8
-19.918081735229435,32.12490031385056,Innertkirchen 1 / 1a,719.8
-19.918080900099056,32.12490081841824,"Fuhren (Gental), Innertkirchen",17.1
-19.918080900099056,32.12490081841824,"Fuhren (Pumpzentrale), Innertk",0.0
-19.918081406842546,32.1249005477194,Hopflauenen (Trift),245.4
-19.918081406842546,32.1249005477194,Hopflauenen (Leimboden),21.8
-19.918081887400408,32.124900337146755,Innertkirchen 2,161.3
-19.918082257349198,32.12490044165428,Meiringen 2,8.0
-19.918082291794313,32.12490040244555,Meiringen 1,5.6
-19.918082291794313,32.12490040244555,Reutiberg II ( M3 in Z. Meir.),1.2
-19.918082325873932,32.124900302424436,Schattenhalb 1+,6.7
-19.918082331621104,32.124900302374165,Schattenhalb 3,48.6
-19.918084006309325,32.12489992546935,Giessbach,4.5
-19.91808331509804,32.12489912092818,Isch,6.0
-19.918084290711484,32.124898921840014,Lütschental,62.4
-19.91808449541004,32.12489798542202,Stechelberg,21.7
-19.918085477352488,32.12489847021087,Geissbrunnen,2.0
-19.91808535179142,32.12489878477722,Kammri,4.0
-19.918085473481327,32.1248989830087,"Interlaken,Kanal",5.1
-19.918085503302688,32.12489896795337,Interlaken-Dotierzentrale,1.2
-19.918086593601465,32.124896678759505,"Kandersteg (Eggeschwand), Alpb",10.49
-19.918086359003958,32.124896945814584,Kandersteg (Zilfuri),6.88
-19.918086520671338,32.12489689865796,Kandersteg (Dorf),5.06
-19.91808684088024,32.12489724088049,Kandergrund,98.95
-19.91808746411164,32.124896165644216,Engstligenalp,2.0
-19.918086226907338,32.12489775242472,"Spiggenbach, Reichenbach",10.0
-19.91808748353864,32.12489660218981,"Moosweid, Adelboden",1.8
-19.91808746429192,32.124896709852514,Engstlige,5.0
-19.918087335082493,32.124898538964345,Spiez,104.64
-19.91808901614037,32.124896112527345,"Färmelbach, St. Stephan",9.0
-19.918089210727434,32.12489614895424,"Simelemoos, St. Stephan",1.45
-19.918089725029905,32.12489677590646,Laubegg (Garstatt),12.7
-19.91808919441525,32.12489768318792,Weissenburg,2.06
